Time,X1,Label
0,5414.95862755543,0.0
1,6216.32890565265,0.0
2,6074.959126879709,0.0
3,6581.407828758567,0.0
4,5955.15255604409,0.0
5,5700.180955318165,0.0
6,5713.948204718199,0.0
7,6168.186954385241,0.0
8,5889.30072723844,0.0
9,6570.463633178064,0.0
10,5879.62536611828,0.0
11,5816.167563695002,0.0
12,6113.499268918343,0.0
13,5859.524446387667,0.0
14,6379.540262655062,0.0
15,5628.084403347022,0.0
16,6400.529315554087,0.0
17,6106.230313869163,0.0
18,6108.972094805698,0.0
19,6508.529867739729,0.0
20,5876.719331223582,0.0
21,5764.439685732675,0.0
22,5754.678424452604,0.0
23,5719.632313559954,0.0
24,6413.197817328378,0.0
25,5909.4028961554595,0.0
26,6523.435903363295,0.0
27,5931.060067582522,0.0
28,6061.621993184765,0.0
29,5900.597704764117,0.0
30,6069.932902529047,0.0
31,5534.855139444814,0.0
32,6293.583544770327,0.0
33,5717.748120404919,0.0
34,5819.243523989923,0.0
35,6340.646926952823,0.0
36,5993.6921693221175,0.0
37,5729.174731200451,0.0
38,6463.6910990201,0.0
39,5973.811975358161,0.0
40,6195.6197636276975,0.0
41,5511.807567640755,0.0
42,5687.780328317544,0.0
43,6468.093419874167,0.0
44,6468.884678093463,0.0
45,5558.808737873274,0.0
46,6162.718416677862,0.0
47,5755.849250622873,0.0
48,5214.63842958445,0.0
49,5647.036837058087,0.0
50,5713.309475502906,0.0
51,5766.13902378222,0.0
52,5627.594979609455,0.0
53,5679.741951669219,0.0
54,5993.656948915167,0.0
55,6163.142446289951,0.0
56,6300.936371323584,0.0
57,6760.459691694656,0.0
58,6523.43968012937,0.0
59,6161.901105749697,0.0
60,6041.313911962367,0.0
61,5535.994135140651,0.0
62,5484.686562349272,0.0
63,6033.861870380166,0.0
64,6432.970061228182,0.0
65,6019.146773714938,0.0
66,6973.949621383249,0.0
67,6600.510804748259,0.0
68,6297.725656905348,0.0
69,6325.266503770064,0.0
70,6144.376743720958,0.0
71,5137.091003784588,0.0
72,5649.496699389187,0.0
73,6048.923674117409,0.0
74,6500.804050560241,0.0
75,6202.124290023795,0.0
76,5587.442034691014,0.0
77,5478.407681881545,0.0
78,5848.4639831696,0.0
79,6159.724236661197,0.0
80,6137.295797084177,0.0
81,6720.182959719867,0.0
82,5351.573503816392,0.0
83,6043.492593173098,0.0
84,6123.466077086421,0.0
85,5743.814751122577,0.0
86,5965.235885083873,0.0
87,6319.621949413944,0.0
88,6487.968456757517,0.0
89,5368.315852175364,0.0
90,6173.521080776632,0.0
91,5798.893509290956,0.0
92,5490.910731363921,0.0
93,5131.261202385061,0.0
94,6517.680021817746,0.0
95,5430.448689556763,0.0
96,6304.576805371911,0.0
97,5305.702660119998,0.0
98,6550.048404412356,0.0
99,5499.226450502442,0.0
100,6349.198568165255,0.0
101,5788.316322298807,0.0
102,5477.205956092986,0.0
103,6238.880981328546,0.0
104,6276.668047954233,0.0
105,5640.319180266226,0.0
106,6416.330231671195,0.0
107,6352.504350334333,0.0
108,6300.135206080565,0.0
109,5793.980605616952,0.0
110,6208.050429566603,0.0
111,6239.682715977185,0.0
112,5636.701974853868,0.0
113,5241.521262032923,0.0
114,5628.798363347288,0.0
115,5601.850980994379,0.0
116,6539.904485784206,0.0
117,5655.405559675148,0.0
118,6250.184119746411,0.0
119,5765.092570481533,0.0
120,5581.166535223758,0.0
121,6038.0960173348385,0.0
122,5390.4963067986255,0.0
123,6176.2401791668935,0.0
124,5936.554367190656,0.0
125,6354.564391266003,0.0
126,5742.098135664496,0.0
127,5737.874061595746,0.0
128,5874.2657589273895,0.0
129,5794.9422691315895,0.0
130,5800.024253640936,0.0
131,5654.444818751136,0.0
132,5904.236391285958,0.0
133,6216.260955093346,0.0
134,4973.452714025201,0.0
135,6310.447638219142,0.0
136,5588.260305329926,0.0
137,6029.223824541582,0.0
138,6356.721586840315,0.0
139,6028.772556055243,0.0
140,5566.773957933104,0.0
141,5802.261836390365,0.0
142,6169.157362177173,0.0
143,5891.453425880416,0.0
144,6035.881683260262,0.0
145,6237.504021896019,0.0
146,6587.5761157976585,0.0
147,6784.455278273543,0.0
