T,S,X0
0,0,-4353
1,0,-3593
2,0,-5107
3,0,-4582
4,0,-6425
5,0,-6727
6,0,-5801
7,0,-6364
8,0,-7083
9,0,-4612
10,0,-2016
11,0,-3594
12,0,-3474
13,0,-1969
14,0,-2653
15,0,-5444
16,0,-6734
17,0,-6575
18,0,-7947
19,0,-8254
20,0,-7153
21,0,-4675
22,0,-4338
23,0,-3006
24,0,-1718
25,0,-1465
26,0,-2336
27,0,-2914
28,0,-5356
29,0,-6300
30,0,-7110
31,0,-8184
32,0,-8625
33,0,-6348
34,0,-4498
35,0,-3138
36,0,-4195
37,0,-3013
38,0,-2371
39,0,-4091
40,0,-4887
41,0,-5204
42,0,-5855
43,0,-7128
44,0,-7398
45,0,-5391
46,0,-4217
47,0,-3878
48,0,-4347
49,0,-2881
50,0,-2586
51,0,-4733
52,0,-6783
53,0,-5752
54,0,-5707
55,0,-7299
56,0,-6750
57,0,-3922
58,0,-2760
59,0,-5241
60,0,-3910
61,0,-2513
62,0,-5185
63,0,-6325
64,0,-3427
65,0,-2724
66,0,-4815
67,0,-5181
68,0,-4905
69,0,-6026
70,0,-7444
71,0,-7269
72,0,-4813
73,0,-5337
74,0,-5604
75,0,-3367
76,0,-2188
77,0,-2872
78,0,-3690
79,0,-3670
80,0,-4547
81,0,-6831
82,0,-7775
83,0,-7454
84,0,-7526
85,0,-7102
86,0,-4592
87,0,-2976
88,0,-2123
89,0,-3163
90,0,-2229
91,0,-1640
92,0,-4313
93,0,-5589
94,0,-6098
95,0,-7856
96,0,-8281
97,0,-6732
98,0,-5380
99,0,-4354
100,0,-2806
101,0,-3154
102,0,-4687
103,0,-5617
104,0,-4931
105,0,-6005
106,0,-5617
107,0,-4498
108,0,-3403
109,0,-3417
110,0,-5131
111,0,-4887
112,0,-5154
113,0,-5723
114,0,-5513
115,0,-5228
116,0,-5131
117,0,-5408
118,0,-5171
119,0,-4738
120,0,-5142
121,0,-5533
122,0,-4623
123,0,-3333
124,0,-3449
125,0,-2874
126,0,-2773
127,0,-4426
128,0,-5681
129,0,-6703
130,0,-7873
131,0,-7237
132,0,-6703
133,0,-6309
134,0,-4372
135,0,-4065
136,0,-2806
137,0,-3628
138,0,-3803
139,0,-3315
140,0,-3478
141,0,-5433
142,0,-6730
143,0,-6197
144,0,-6370
145,0,-5673
146,0,-4832
147,0,-4903
148,0,-3623
149,0,-4441
150,0,-5416
151,0,-4804
152,0,-4891
153,0,-6825
154,0,-5975
155,0,-3393
156,0,-4291
157,0,-4423
158,0,-2951
159,0,-3307
160,0,-4390
161,0,-5422
162,0,-5534
163,0,-6563
164,0,-7110
165,0,-8083
166,0,-7412
167,0,-5486
168,0,-4413
169,0,-4785
170,0,-2810
171,0,-800
172,0,-1594
173,0,-3023
174,0,-3500
175,0,-5171
176,0,-8121
177,0,-8834
178,0,-8368
179,0,-7868
180,0,-6777
181,0,-3880
182,0,-2980
183,0,-2565
184,0,-971
185,0,-469
186,0,-2032
187,0,-5048
188,0,-6495
189,0,-6577
190,0,-8016
191,0,-8319
192,0,-6198
193,0,-5190
194,0,-4235
195,0,-3005
196,0,-3685
197,0,-4397
198,0,-4208
199,0,-4786
200,0,-5847
201,0,-5293
202,0,-4295
203,0,-4863
204,0,-6857
205,0,-4718
206,0,-3737
207,0,-5397
208,0,-5199
209,0,-6186
210,0,-6481
211,0,-4817
212,0,-5964
213,0,-5863
214,0,-4312
215,0,-4148
216,0,-3245
217,0,-2682
218,0,-3029
219,0,-4218
220,0,-5786
221,0,-5782
222,0,-6747
223,0,-7541
224,0,-6817
225,0,-6100
226,0,-5489
227,0,-4810
228,0,-4316
229,0,-4157
230,0,-2897
231,0,-3532
232,0,-3092
233,0,-3571
234,0,-3993
235,0,-5644
236,0,-6370
237,0,-7803
238,0,-8540
239,0,-6417
240,0,-5091
241,0,-5239
242,0,-3594
243,0,-1638
244,0,-3117
245,0,-4472
246,0,-2858
247,0,-4049
248,0,-6134
249,0,-6409
250,0,-5360
251,0,-6276
252,0,-5975
253,0,-5700
254,0,-5830
255,0,-5676
256,0,-5674
257,0,-5203
258,0,-3806
259,0,-2725
260,0,-3696
261,0,-3151
262,0,-2036
263,0,-3825
264,0,-5781
265,0,-7038
266,0,-7420
267,0,-6766
268,0,-8000
269,0,-6942
270,0,-4899
271,0,-4264
272,0,-3993
273,0,-2908
274,0,-1205
275,0,-1578
276,0,-4729
277,0,-4136
278,0,-4830
279,0,-6448
280,0,-7984
281,0,-7391
282,0,-8334
283,0,-8136
284,0,-5504
285,0,-3662
286,0,-2944
287,0,-2365
288,0,-838
289,0,-1937
290,0,-4369
291,0,-5746
292,0,-6699
293,0,-7226
294,0,-7280
295,0,-7176
296,0,-5806
297,0,-5021
298,0,-5123
299,0,-3568
300,0,-3147
301,0,-2869
302,0,-3294
303,0,-4686
304,0,-6854
305,0,-6279
306,0,-5914
307,0,-5344
308,0,-5287
309,0,-3643
310,0,-3356
311,0,-5596
312,0,-5384
313,0,-4099
314,0,-5270
315,0,-6671
316,0,-5361
317,0,-4922
318,0,-4876
319,0,-4630
320,0,-4268
321,0,-4252
322,0,-4537
323,0,-5577
324,0,-5636
325,0,-6640
326,0,-4767
327,0,-5305
328,0,-5347
329,0,-5308
330,0,-4843
331,0,-4801
332,0,-4232
333,0,-2981
334,0,-4980
335,0,-5715
336,0,-5007
337,0,-6020
338,0,-6266
339,0,-6379
340,0,-5074
341,0,-5110
342,0,-5139
343,0,-3328
344,0,-3576
345,0,-5043
346,0,-3814
347,0,-3771
348,0,-5401
349,0,-6597
350,0,-6233
351,0,-5700
352,0,-6702
353,0,-6760
354,0,-4435
355,0,-3872
356,0,-4403
357,0,-3040
358,0,-2965
359,0,-4025
360,0,-5307
361,0,-5004
362,0,-5265
363,0,-6964
364,0,-6145
365,0,-5396
366,0,-5740
367,0,-6826
368,0,-5131
369,0,-4153
370,0,-4643
371,0,-3954
372,0,-3870
373,0,-3631
374,0,-3593
375,0,-4297
376,0,-5100
377,0,-5318
378,0,-6796
379,0,-7460
380,0,-5704
381,0,-4954
382,0,-4127
383,0,-3346
384,0,-3943
385,0,-3876
386,0,-6173
387,0,-5209
388,0,-5402
389,0,-6160
390,0,-5929
391,0,-5073
392,0,-4621
393,0,-5609
394,0,-4753
