T,S,Score
999,0,-0.048983780771257646
1009,0,-0.016320708131423167
1019,0,-0.012722741855952902
1029,0,-0.05119141368508784
1039,0,-0.06284245468493888
1049,0,-0.0590586724366432
1059,0,0.011850744438381522
1069,0,0.034930596407756975
1079,0,0.0635160404372268
1089,0,0.06560587255936712
1099,0,-0.03049876053210987
1109,0,-0.05279611841163989
1119,0,0.039451552199636475
1129,0,0.05347816925009341
1139,0,0.14398178344105828
1149,0,0.1736658150991156
1159,0,0.1891884548747026
1169,0,0.10046735262004669
1179,0,0.1872876400311132
1189,0,0.08869674510793502
1199,0,0.09730273591722327
1209,0,0.05818093404165958
1219,0,0.14594640343289766
1229,0,0.14764231622228208
1239,0,-0.04535247560786859
1249,0,0.05495618019607729
1259,0,0.02950866732672508
1269,0,0.13251746957575306
1279,0,0.04951897342053013
1289,0,0.1047510480813787
1299,0,0.1264984733051161
1309,0,0.15499567222998734
1319,0,0.15966242903362982
1329,0,0.1581779733946327
1339,0,0.08096940343989889
1349,0,0.08071559936627615
1359,0,0.2374216782752474
1369,0,0.11667553988980905
1379,0,0.1335245419063329
1389,0,0.22454418981329638
1399,0,0.07542102027250497
1409,0,0.23666207684872265
1419,0,0.16555182073483166
1429,0,0.14706305262033492
1439,0,0.10411823241141438
1449,0,0.17070076472309026
1459,0,0.1504880775087779
1469,0,0.19768091645667907
1479,0,0.06745123194838754
1489,0,0.18957832484944015
1499,0,0.1609301073454884
1509,0,0.16731960628027798
1519,0,0.14387529373188124
1529,0,0.19075944867180072
1539,0,0.10628444577337337
1549,0,0.24230004970856878
1559,0,0.14147021441978846
1569,0,0.13916602315478332
1579,0,0.03898674017401149
1589,0,-0.07854019622812547
1599,0,-0.14171349359875152
1609,0,-0.08135258885630126
1619,0,-0.0920952545618533
1629,0,-0.07333787729029007
1639,0,-0.0840998719681959
1649,0,-0.07832504177598021
1659,0,-0.03537411576045657
1669,0,-0.1432670724324574
1679,0,-0.18373628233161698
1689,0,-0.030218585119453856
1699,0,-0.19445083646315509
1709,0,-0.12441376937839976
1719,0,-0.14298059653794248
1729,0,-0.046134765774680564
1739,0,-0.08832889985199066
1749,0,-0.05534897200134137
1759,0,-0.17137523199243565
1769,0,-0.12958907608919334
1779,0,-0.11302677622158963
1789,0,-0.14130743918406152
1799,0,-0.15221105034013083
1809,0,-0.11762433652962023
1819,0,-0.07354681803284935
1829,0,-0.03211644393538737
1839,0,-0.15355881309164854
1849,0,-0.037676466576532786
1859,0,0.03706414922912271
1869,0,0.04779443548949136
1879,0,0.009530760752984091
1889,0,-0.016179269248631778
1899,0,-0.06280277877467322
1909,0,-0.14692174529517066
1919,0,-0.0977763028091676
1929,0,-0.09080730964637873
1939,0,0.05649497645911239
1949,0,0.1490873292193109
1959,0,0.09720195080129246
1969,0,0.09318013198449482
1979,0,0.04131777802436987
1989,0,0.10315412077274388
1999,0,0.1389149382232373
2009,0,-0.062748982311292
2019,0,0.03822236498422327
2029,0,-0.10718598311068095
2039,0,-0.0780869360797547
2049,0,-3.707152370735489e-05
2059,0,0.08980586131648483
2069,0,0.03040839819209573
2079,0,0.11184812977864012
2089,0,0.22961505749522437
2099,0,0.12745135759254067
2109,0,0.041014208706751765
2119,0,0.19529132761631274
2129,0,-0.050212651961043964
2139,0,0.017486950409832835
2149,0,0.0027081266757564837
2159,0,-0.0461929573886094
2169,0,-0.022797056249844405
2179,0,-0.005401180326342625
2189,0,0.018502404021148555
2199,0,-0.06940469812169092
2209,0,-0.02083427523102177
2219,0,-0.1780535001765564
2229,0,-0.16632480548318984
2239,0,-0.1803094478620142
2249,0,-0.1412695282265084
2259,0,-0.15164911005830184
2269,0,-0.12042070944485439
2279,0,-0.10425178068928809
2289,0,-0.016632058256303317
2299,0,-0.05562111363071809
2309,0,-0.052347996989576484
2319,0,0.059599571977228205
2329,0,-0.028560547061313835
2339,0,-0.002572931122880706
2349,0,0.09816995696559228
2359,0,-0.02219696559699147
2369,0,-0.003014270708549649
2379,0,-0.03507811743245859
2389,0,-0.09279315154531087
2399,0,-0.18695649942998793
2409,0,-0.12149228326210693
2419,0,-0.10123341112072082
2429,0,-0.12883943846816348
2439,0,-0.1138826916662059
2449,0,-0.015226766440687434
2459,0,-0.013740812186823659
2469,0,0.028370596123817315
2479,0,-0.06901363189993914
2489,0,-0.05021871870750805
2499,0,-0.08087804264049847
2509,0,-0.05008976707472945
2519,0,-0.02506071541682464
2529,0,0.003263464313015052
2539,0,0.05257517923904664
2549,0,0.019665144830968262
2559,0,-0.042950817812543174
2569,0,0.013820528833415668
