T,S,X0
290,0.0,68845.56
291,0.0,68848.48
292,0.0,68913.79
293,0.0,68783.02
294,0.0,68868.09
295,0.0,68818.82
296,0.0,68823.586
297,0.0,68862.84
298,0.0,68934.445
299,0.0,68828.59
300,0.0,68850.516
301,0.0,68788.43
302,0.0,68864.96
303,0.0,68838.82
304,0.0,68812.984
305,0.0,68855.07
306,0.0,68868.055
307,0.0,68855.8
308,0.0,68826.68
309,0.0,68819.83
310,0.0,68941.945
311,0.0,68928.39
312,0.0,68838.336
313,0.0,68786.32
314,0.0,68835.055
315,0.0,68818.99
316,0.0,68799.016
317,0.0,68806.83
318,0.0,68825.96
319,0.0,68796.24
320,0.0,68821.21
321,0.0,68797.75
322,0.0,68806.72
323,0.0,68894.82
324,0.0,68844.6
325,0.0,68860.56
326,0.0,68780.63
327,0.0,68810.89
328,0.0,68885.555
329,0.0,68740.875
330,0.0,68848.4
331,0.0,68857.61
332,0.0,68757.36
333,0.0,68790.234
334,0.0,68829.055
335,0.0,68885.86
336,0.0,68897.89
337,0.0,68818.75
338,0.0,68769.85
339,0.0,68865.086
340,0.0,68891.055
341,0.0,68888.54
342,0.0,68905.02
343,0.0,68843.97
344,0.0,68881.51
345,0.0,68885.94
346,0.0,68807.47
347,0.0,68746.76
348,0.0,68894.13
349,0.0,68826.62
350,0.0,68857.15
351,0.0,68887.805
352,0.0,68902.27
353,0.0,68845.734
354,0.0,68798.17
355,0.0,68836.61
356,0.0,68781.15
357,0.0,68893.805
358,0.0,68830.35
359,0.0,68922.555
360,0.0,68923.734
361,0.0,68799.21
362,0.0,68885.41
363,0.0,68868.22
364,0.0,68841.88
365,0.0,68849.836
366,0.0,68852.56
367,0.0,68870.99
368,0.0,68877.7
369,0.0,68968.2
370,0.0,68843.53
371,0.0,68822.086
372,0.0,68863.32
373,0.0,68854.93
374,0.0,68802.32
375,0.0,68876.766
376,0.0,68865.39
377,0.0,68809.43
378,0.0,68736.78
379,0.0,68842.695
380,0.0,68774.74
381,0.0,68840.14
382,0.0,68847.95
383,0.0,68857.28
384,0.0,68918.0
385,0.0,68819.0
386,0.0,68874.71
387,0.0,68890.13
388,0.0,68821.93
389,0.0,68800.12
390,0.0,68858.22
391,0.0,68893.36
392,0.0,68809.305
393,0.0,68881.21
394,0.0,68927.734
395,0.0,68921.125
396,0.0,68772.22
397,0.0,68838.77
398,0.0,68883.83
399,0.0,68839.59
400,0.0,68793.06
401,0.0,69024.41
402,0.0,68775.47
403,0.0,68891.88
404,0.0,68923.734
405,0.0,68892.61
406,0.0,68795.28
407,0.0,68818.78
408,0.0,68784.055
409,0.0,68802.51
410,0.0,68886.4
411,0.0,68866.08
412,0.0,68875.55
413,0.0,68807.766
414,0.0,68853.74
415,0.0,68861.17
416,0.0,68806.28
417,0.0,68832.11
418,0.0,68908.08
419,0.0,68851.75
420,0.0,68896.914
421,0.0,68874.43
422,0.0,68881.44
423,0.0,68922.0
424,0.0,68859.766
425,0.0,68849.87
426,0.0,68791.125
427,0.0,68796.35
428,0.0,68888.28
429,0.0,68842.19
430,0.0,68836.234
431,0.0,68868.32
432,0.0,68951.13
433,0.0,68826.97
434,0.0,68858.99
435,0.0,68785.31
436,0.0,68812.234
437,0.0,68910.484
438,0.0,68908.16
439,0.0,68795.62
440,0.0,68887.7
441,0.0,68845.266
442,0.0,68813.95
443,0.0,68938.01
444,0.0,68828.34
445,0.0,68889.734
446,0.0,68880.09
447,0.0,68907.59
448,0.0,68787.836
449,0.0,68809.33
450,0.0,68872.76
451,0.0,68817.84
452,0.0,68962.89
453,0.0,68915.77
454,0.0,68784.5
455,0.0,68851.84
456,0.0,68867.89
457,0.0,68820.17
458,0.0,68852.29
459,0.0,68904.58
460,0.0,68839.84
461,0.0,68796.664
462,0.0,68832.06
463,0.0,68842.03
464,0.0,68894.38
465,0.0,68791.69
466,0.0,68793.75
467,0.0,68836.95
468,0.0,68887.586
469,0.0,68831.484
470,0.0,68858.45
471,0.0,68887.82
472,0.0,68835.52
473,0.0,68823.56
474,0.0,68860.55
475,0.0,68874.82
476,0.0,68812.05
477,0.0,68831.72
478,0.0,68786.555
479,0.0,69057.47
480,0.0,68783.42
481,0.0,68925.49
482,0.0,68788.97
483,0.0,68899.195
484,0.0,68933.0
485,0.0,68911.65
486,0.0,68843.97
487,0.0,68812.26
488,0.0,68840.125
489,0.0,68875.06
490,0.0,68817.055
491,0.0,68914.79
492,0.0,68838.18
493,0.0,68863.81
494,0.0,68821.06
495,0.0,68957.77
496,0.0,68905.38
497,0.0,68861.31
498,0.0,68836.4
499,0.0,68770.266
500,0.0,68928.37
501,0.0,68763.3
502,0.0,68959.48
503,0.0,68852.56
504,0.0,68891.98
505,0.0,68682.164
506,0.0,68784.04
507,0.0,68837.09
508,0.0,68841.72
509,0.0,68876.11
510,0.0,68874.2
511,0.0,68858.67
512,0.0,68925.586
513,0.0,68806.86
514,0.0,68852.48
515,0.0,68922.625
516,0.0,68854.12
517,0.0,68771.98
518,0.0,68893.52
519,0.0,68865.695
520,0.0,68809.91
521,0.0,68975.15
522,0.0,68906.664
523,0.0,68777.016
524,0.0,68964.26
525,0.0,68892.87
526,0.0,68813.7
527,0.0,68852.86
528,0.0,68909.02
529,0.0,68903.42
530,0.0,68893.52
531,0.0,68880.05
532,0.0,68820.27
533,0.0,68820.42
534,0.0,68838.88
535,0.0,68758.34
536,0.0,68752.15
537,0.0,68756.734
538,0.0,68891.734
539,0.0,68878.28
540,0.0,68839.42
541,0.0,68839.055
542,0.0,68868.71
543,0.0,68806.74
544,0.0,68933.33
545,0.0,68882.32
546,0.0,68896.38
547,0.0,68908.7
548,0.0,68852.625
549,0.0,68835.75
550,0.0,68873.414
551,0.0,68884.836
552,0.0,68883.06
553,0.0,68944.07
554,0.0,68772.82
555,0.0,68840.26
556,0.0,68903.055
557,0.0,68796.83
558,0.0,68898.625
559,0.0,68802.336
560,0.0,68827.03
561,0.0,68834.89
562,0.0,68724.2
563,0.0,68754.05
564,0.0,68909.73
565,0.0,68849.68
566,0.0,68787.31
567,0.0,68858.625
568,0.0,68834.45
569,0.0,68858.33
570,0.0,68803.68
571,0.0,68858.75
572,0.0,68857.36
573,0.0,68832.305
574,0.0,68853.82
575,0.0,68941.945
576,0.0,68775.266
577,0.0,68864.63
578,0.0,68754.016
579,0.0,68840.37
580,0.0,68817.27
581,0.0,68889.15
582,0.0,68770.86
583,0.0,68804.484
584,0.0,68767.15
585,0.0,68893.11
586,0.0,68884.88
587,0.0,68840.46
588,0.0,68803.34
589,0.0,68924.664
590,0.0,68914.87
591,0.0,68825.75
592,0.0,68831.64
593,0.0,68799.984
594,0.0,68852.38
595,0.0,68859.766
596,0.0,68886.3
597,0.0,68886.22
598,0.0,68865.1
599,0.0,68943.46
600,0.0,68823.18
601,0.0,68876.05
602,0.0,68804.99
603,0.0,68802.52
604,0.0,68884.34
605,0.0,68847.85
606,0.0,68851.34
607,0.0,68808.625
608,0.0,68835.91
609,0.0,68866.68
610,0.0,68914.75
611,0.0,68860.03
612,0.0,68809.32
613,0.0,68850.875
614,0.0,68857.47
615,0.0,68909.63
616,0.0,68864.45
617,0.0,68820.76
618,0.0,68773.01
619,0.0,68862.98
620,0.0,68895.23
621,0.0,68845.63
622,0.0,68871.69
623,0.0,68910.03
624,0.0,68897.055
625,0.0,68946.17
626,0.0,68865.33
627,0.0,68934.35
628,0.0,68783.1
629,0.0,68869.45
630,0.0,68842.2
631,0.0,68919.39
632,0.0,68851.07
633,0.0,68822.38
634,0.0,68835.32
635,0.0,68928.72
636,0.0,68857.56
637,0.0,68844.125
638,0.0,68904.1
639,0.0,68864.234
640,0.0,68913.53
641,0.0,68751.6
642,0.0,68874.12
643,0.0,68833.39
644,0.0,68811.94
645,0.0,68875.52
646,0.0,68895.74
647,0.0,68836.81
648,0.0,68816.58
649,0.0,68812.67
650,0.0,68831.01
651,0.0,68937.17
652,0.0,68832.74
653,0.0,68837.18
654,0.0,68828.8
655,0.0,68796.555
656,0.0,68826.74
657,0.0,68809.73
658,0.0,68857.94
659,0.0,68840.41
660,0.0,68771.836
661,0.0,68853.01
662,0.0,68792.4
663,0.0,68873.58
664,0.0,68848.67
665,0.0,68905.76
666,0.0,68936.61
667,0.0,68822.375
668,0.0,68790.086
669,0.0,68848.055
670,0.0,68758.766
671,0.0,68776.69
672,0.0,68859.766
673,0.0,68874.4
674,0.0,68834.36
675,0.0,68809.6
676,0.0,68906.59
677,0.0,68884.61
678,0.0,68816.43
679,0.0,68793.77
680,0.0,68714.17
681,0.0,68828.414
682,0.0,68849.22
683,0.0,68829.41
684,0.0,68844.75
685,0.0,68844.18
686,0.0,68951.9
687,0.0,68884.234
688,0.0,68780.54
689,0.0,68943.44
690,0.0,68793.805
691,0.0,68901.51
692,0.0,68897.29
693,0.0,68878.766
