T,S,X0
437,0,-6879
438,0,8059
439,0,6938
440,0,2507
441,0,6233
442,0,2018
443,0,-2078
444,0,2460
445,0,343
446,0,491
447,0,2906
448,0,2475
449,0,-5517
450,0,-5864
451,0,2353
452,0,-189
453,0,-2424
454,0,-2015
455,0,4588
456,0,9627
457,0,13570
458,0,11949
459,0,-3170
460,0,-17733
461,0,-9680
462,0,-4064
463,0,3876
464,0,6545
465,0,3515
466,0,180
467,0,3609
468,0,-799
469,0,-3611
470,0,-1445
471,0,8348
472,0,9166
473,0,5789
474,0,893
475,0,-5874
476,0,-12033
477,0,-5732
478,0,-2010
479,0,5759
480,0,9915
481,0,10354
482,0,8932
483,0,-1778
484,0,-11536
485,0,-6134
486,0,2653
487,0,8
488,0,2137
489,0,4232
490,0,1054
491,0,1455
492,0,6811
493,0,-293
494,0,-6103
495,0,-7216
496,0,-1191
497,0,5127
498,0,9306
499,0,6228
500,0,1240
501,0,2531
502,0,-7386
503,0,-11993
504,0,-1450
505,0,3239
506,0,7806
507,0,8401
508,0,9952
509,0,-4396
510,0,-8091
511,0,-4823
512,0,3120
513,0,2290
514,0,-2382
515,0,2872
516,0,4133
517,0,-3654
518,0,-2738
519,0,177
520,0,9080
521,0,3843
522,0,-4714
523,0,-4285
524,0,4008
525,0,-715
526,0,-1373
527,0,3987
528,0,8565
529,0,7171
530,0,-2365
531,0,-5195
532,0,-828
533,0,-6549
534,0,-1490
535,0,-368
536,0,5551
537,0,7942
538,0,4268
539,0,565
540,0,4555
541,0,1084
542,0,-7037
543,0,-7129
544,0,-3509
545,0,1215
546,0,7524
547,0,8435
548,0,5788
549,0,2410
550,0,-3556
551,0,-8157
552,0,-6787
553,0,-1390
554,0,2128
555,0,11792
556,0,12378
557,0,4878
558,0,-7696
559,0,-3578
560,0,-6887
561,0,-805
562,0,4681
563,0,6139
564,0,2566
565,0,-3361
566,0,-473
567,0,3987
568,0,6320
569,0,-6475
570,0,-2816
571,0,568
572,0,10342
573,0,7075
574,0,1752
575,0,-2429
576,0,-8405
577,0,-7577
578,0,3340
579,0,4767
580,0,1858
581,0,5800
582,0,3430
583,0,-3209
584,0,-851
585,0,-404
586,0,1812
587,0,8766
588,0,3969
589,0,-4705
590,0,-9006
591,0,-4518
592,0,4575
593,0,9028
594,0,5468
595,0,-409
596,0,1163
597,0,-3021
598,0,-6453
599,0,-2264
600,0,3217
601,0,3900
602,0,697
603,0,6419
604,0,7308
605,0,1379
606,0,-2657
607,0,-5618
608,0,-1896
609,0,-3952
610,0,1077
611,0,1444
612,0,702
613,0,-2909
614,0,2756
615,0,4265
616,0,9833
617,0,7557
618,0,322
619,0,-4328
620,0,-4897
621,0,-1105
622,0,-1137
623,0,-2927
624,0,-699
625,0,-523
626,0,558
627,0,1049
628,0,4820
629,0,6847
630,0,11085
631,0,3401
632,0,-4779
633,0,-8267
634,0,-2213
635,0,-6998
636,0,1106
637,0,5213
638,0,4396
639,0,4821
640,0,1528
641,0,-2577
642,0,1165
643,0,-988
644,0,-2293
645,0,-2935
646,0,-2420
647,0,1523
648,0,14409
649,0,13276
650,0,3478
651,0,-7664
652,0,-12416
653,0,-7519
654,0,519
655,0,4026
656,0,1221
657,0,-1664
658,0,6483
659,0,10366
660,0,7227
661,0,4101
662,0,-2806
663,0,-2342
664,0,-5570
665,0,-6022
666,0,-4493
667,0,3287
668,0,1576
669,0,1824
670,0,6264
671,0,7559
672,0,3340
673,0,-1129
674,0,-5166
675,0,-788
676,0,3322
677,0,6847
678,0,791
679,0,-6426
680,0,-7465
681,0,-4471
682,0,6056
683,0,12826
684,0,5052
685,0,-916
686,0,-4440
687,0,-428
688,0,-1887
689,0,5042
690,0,3942
691,0,-406
692,0,-268
693,0,-30
694,0,2465
695,0,407
696,0,-456
697,0,-3282
698,0,-4882
699,0,6834
700,0,8168
701,0,-593
702,0,-564
703,0,-1069
704,0,-3208
705,0,4029
706,0,5505
707,0,2794
708,0,-4243
709,0,-8466
710,0,-6602
711,0,2958
712,0,7611
713,0,8442
714,0,6425
715,0,-3844
716,0,-1015
717,0,4740
718,0,5946
719,0,-2845
720,0,-3655
721,0,-8450
722,0,-2384
723,0,-1041
724,0,2302
725,0,5157
726,0,13287
727,0,8753
728,0,7861
729,0,988
730,0,-18210
731,0,-11556
732,0,1007
733,0,5467
734,0,8328
735,0,-2410
736,0,-6733
737,0,-828
738,0,10214
739,0,11772
740,0,5051
741,0,-5607
742,0,-4568
743,0,-4416
744,0,-4496
745,0,-7383
746,0,2449
747,0,9091
748,0,13619
749,0,6873
750,0,-3376
751,0,-4302
752,0,-3902
753,0,-10056
754,0,4375
755,0,13017
756,0,2963
757,0,553
758,0,-4894
759,0,-971
760,0,1162
761,0,3210
762,0,2498
763,0,-3440
764,0,-3028
765,0,2468
766,0,9169
767,0,9868
768,0,5428
769,0,-1890
770,0,-13264
771,0,-14836
772,0,-6026
773,0,6627
774,0,10192
775,0,10025
776,0,3130
777,0,1941
778,0,3137
779,0,-1601
780,0,-5520
781,0,-3784
782,0,-6864
783,0,663
784,0,7600
785,0,5493
786,0,5136
787,0,6041
788,0,604
789,0,-3151
790,0,-8255
791,0,-11321
792,0,-3253
793,0,6607
794,0,9539
795,0,7794
796,0,5899
797,0,-434
798,0,-1146
799,0,-3545
800,0,-3878
801,0,2857
802,0,-482
803,0,730
804,0,-2197
805,0,-744
806,0,1523
807,0,807
808,0,-3103
809,0,3713
810,0,6912
811,0,7194
812,0,5563
813,0,-5068
814,0,-3539
815,0,-4593
816,0,-3666
817,0,345
818,0,-184
819,0,2639
820,0,6687
821,0,4208
822,0,2718
823,0,1244
824,0,409
825,0,-1860
826,0,402
827,0,-3087
828,0,-2119
829,0,-1154
830,0,-2994
831,0,3085
832,0,3904
833,0,10042
834,0,5981
835,0,-1034
836,0,-5500
837,0,-4671
838,0,-2411
839,0,4271
840,0,6504
841,0,-1935
842,0,-3067
843,0,-3431
844,0,372
845,0,6145
846,0,7390
847,0,2244
848,0,845
849,0,-5241
850,0,-3401
851,0,394
852,0,4395
853,0,3589
854,0,-1073
855,0,614
856,0,1972
857,0,3174
858,0,4057
859,0,-2205
860,0,-9584
861,0,-4542
862,0,497
863,0,9384
864,0,12400
865,0,3205
866,0,59
867,0,-3923
868,0,206
869,0,-1373
870,0,-5096
871,0,-1831
872,0,4321
873,0,2607
874,0,3086
875,0,2185
876,0,-1268
877,0,1279
878,0,-855
879,0,461
880,0,4186
881,0,4252
882,0,52
883,0,-2462
884,0,1157
885,0,-5265
886,0,-4823
887,0,3001
888,0,4764
889,0,11290
890,0,2404
891,0,65
892,0,-3576
893,0,-3699
894,0,-3571
895,0,-3452
896,0,-1961
897,0,8162
898,0,7250
899,0,9538
900,0,-389
901,0,-11950
902,0,-5329
903,0,5808
904,0,6819
905,0,1855
906,0,311
907,0,-2503
908,0,-3347
909,0,2996
910,0,2757
911,0,2242
912,0,1146
913,0,-8812
914,0,-75
915,0,2968
916,0,6367
917,0,5795
918,0,1065
919,0,-2132
920,0,3936
921,0,-188
922,0,-1826
923,0,-10810
924,0,-810
925,0,-888
926,0,5213
927,0,9421
928,0,9448
929,0,3265
930,0,-2165
931,0,-7196
932,0,-6624
933,0,-1081
934,0,-763
935,0,1456
936,0,4760
937,0,6431
938,0,6546
939,0,4979
940,0,-6698
941,0,-3695
942,0,-1151
943,0,2505
944,0,-3046
945,0,-474
946,0,-5509
947,0,6478
948,0,-607
949,0,6473
950,0,6890
951,0,2932
952,0,-3121
953,0,-7210
954,0,4295
955,0,4898
956,0,-1688
957,0,-820
958,0,-700
959,0,-560
960,0,267
961,0,1580
962,0,3215
963,0,1887
964,0,-3207
965,0,244
966,0,7119
967,0,4005
968,0,-3718
969,0,-2005
970,0,2857
971,0,3130
972,0,1791
973,0,-4117
974,0,-3797
975,0,-2147
976,0,837
977,0,5559
978,0,6399
979,0,3449
980,0,3657
981,0,-4079
982,0,-2183
983,0,-5404
984,0,-4820
985,0,2690
986,0,10395
987,0,8107
988,0,4004
989,0,-2728
990,0,-1953
991,0,-79
992,0,-1405
993,0,-5855
994,0,-2652
995,0,863
996,0,5770
997,0,8420
998,0,1957
999,0,-5702
1000,0,1714
1001,0,2294
1002,0,4256
1003,0,3983
1004,0,-2180
1005,0,-2805
1006,0,-4022
1007,0,662
1008,0,2336
1009,0,278
1010,0,-1580
1011,0,-1496
1012,0,5949
1013,0,7462
1014,0,5716
1015,0,-673
1016,0,-5398
1017,0,-4167
1018,0,-183
1019,0,-394
1020,0,392
1021,0,6882
1022,0,5243
1023,0,-317
1024,0,-4905
1025,0,-2794
1026,0,2473
1027,0,-6
1028,0,161
1029,0,-1626
1030,0,4694
1031,0,7050
1032,0,1721
1033,0,-1355
1034,0,-4415
1035,0,-3205
1036,0,4413
1037,0,2994
1038,0,-546
1039,0,-4886
1040,0,3836
1041,0,2751
1042,0,-744
1043,0,636
1044,0,3289
1045,0,4392
1046,0,2819
1047,0,-2793
1048,0,-7731
1049,0,-704
1050,0,106
1051,0,8448
1052,0,2549
1053,0,-109
1054,0,1019
1055,0,4806
1056,0,-976
1057,0,2842
1058,0,-3131
1059,0,-5914
1060,0,-4810
1061,0,-1129
1062,0,-684
1063,0,11578
1064,0,11015
1065,0,3851
1066,0,-3225
1067,0,-589
1068,0,-3592
1069,0,-1974
1070,0,1779
1071,0,1533
1072,0,-7203
1073,0,-2136
1074,0,1663
1075,0,7445
1076,0,8984
1077,0,5289
1078,0,478
1079,0,-6065
1080,0,-6484
1081,0,-6240
1082,0,2115
1083,0,4950
1084,0,12683
1085,0,9303
1086,0,500
1087,0,-9832
1088,0,-9925
1089,0,1271
1090,0,1037
1091,0,3421
1092,0,1955
1093,0,2524
1094,0,6841
1095,0,1866
1096,0,-2545
1097,0,-6509
1098,0,-2126
1099,0,1182
1100,0,3320
1101,0,8432
1102,0,10144
1103,0,2669
1104,0,-5800
1105,0,-5967
1106,0,-7567
1107,0,-5044
1108,0,-2697
1109,0,4548
1110,0,13890
1111,0,8618
1112,0,6172
1113,0,-1938
1114,0,-7800
1115,0,-3716
1116,0,-7119
1117,0,614
1118,0,3181
1119,0,2988
1120,0,9803
1121,0,8809
1122,0,3708
1123,0,-5057
1124,0,-11772
1125,0,-3935
1126,0,3441
1127,0,654
1128,0,1546
1129,0,2223
1130,0,6650
1131,0,4783
1132,0,2113
1133,0,3669
1134,0,-4020
1135,0,-5108
1136,0,-3186
1137,0,-890
1138,0,5122
1139,0,5308
1140,0,7510
1141,0,2373
1142,0,-3098
1143,0,-6608
1144,0,-5362
1145,0,600
1146,0,-816
1147,0,4287
1148,0,12393
1149,0,11599
1150,0,-565
1151,0,-6232
1152,0,-8344
1153,0,-1527
1154,0,5372
1155,0,4227
1156,0,-881
1157,0,506
1158,0,361
1159,0,-673
1160,0,-964
1161,0,-1048
1162,0,4765
1163,0,8261
1164,0,4017
1165,0,-1584
1166,0,-1817
1167,0,-5389
1168,0,-5398
1169,0,4330
1170,0,10713
1171,0,6845
1172,0,1080
1173,0,-4685
1174,0,-6415
1175,0,-1811
1176,0,816
1177,0,-2161
1178,0,-3453
1179,0,5304
1180,0,10928
1181,0,7368
1182,0,4905
1183,0,-2498
1184,0,-6274
1185,0,-6083
1186,0,-5010
1187,0,-2134
1188,0,5641
1189,0,9053
1190,0,7811
1191,0,3904
1192,0,-7002
1193,0,-6111
1194,0,-3328
1195,0,509
1196,0,3148
1197,0,4627
1198,0,7738
1199,0,7174
1200,0,3135
1201,0,-5567
1202,0,-15905
1203,0,-10570
1204,0,7524
1205,0,13462
1206,0,6734
1207,0,4272
1208,0,-2309
1209,0,-8391
1210,0,-3646
1211,0,3991
1212,0,8160
1213,0,5928
1214,0,-1346
1215,0,-4756
1216,0,-1736
1217,0,-1294
1218,0,744
1219,0,4935
1220,0,3586
1221,0,4201
1222,0,-3771
1223,0,-664
1224,0,-1927
1225,0,1341
1226,0,2110
1227,0,2555
1228,0,-5382
1229,0,6032
1230,0,10293
1231,0,1759
1232,0,-5804
1233,0,-4929
1234,0,-232
1235,0,-3377
1236,0,1923
1237,0,7406
1238,0,9518
1239,0,505
1240,0,-1578
1241,0,2560
1242,0,-2649
1243,0,711
1244,0,-794
1245,0,-2493
1246,0,1235
1247,0,2959
1248,0,-3827
1249,0,6463
1250,0,5690
1251,0,3165
1252,0,-4194
1253,0,-8510
1254,0,-5799
1255,0,2943
1256,0,4975
1257,0,9795
1258,0,8468
1259,0,4908
1260,0,-3417
1261,0,-9549
1262,0,-3234
1263,0,-6910
1264,0,-5561
1265,0,7111
1266,0,3158
1267,0,6261
1268,0,8124
1269,0,5029
1270,0,1887
1271,0,271
1272,0,-4327
1273,0,-9290
1274,0,-8466
1275,0,2070
1276,0,8210
1277,0,10895
1278,0,5299
1279,0,-1740
1280,0,-60
1281,0,-2009
1282,0,-5163
1283,0,-4354
1284,0,-941
1285,0,7520
1286,0,10477
1287,0,2484
1288,0,2975
1289,0,-4870
1290,0,-5878
1291,0,-428
1292,0,4846
1293,0,5018
1294,0,-3209
1295,0,-3244
1296,0,-2510
1297,0,1760
1298,0,5320
1299,0,7603
1300,0,3850
1301,0,-728
1302,0,-3590
1303,0,-5749
1304,0,1244
1305,0,4253
1306,0,4042
1307,0,-484
1308,0,-3709
1309,0,-6019
1310,0,3800
1311,0,10137
1312,0,8846
1313,0,-1678
1314,0,-5591
1315,0,-4377
1316,0,-2373
1317,0,2033
1318,0,4213
1319,0,2395
1320,0,-773
1321,0,3102
1322,0,3403
1323,0,454
1324,0,-2237
1325,0,640
1326,0,1950
1327,0,1927
1328,0,-1371
1329,0,-825
1330,0,174
1331,0,1967
1332,0,2738
1333,0,568
1334,0,-2169
1335,0,5799
1336,0,655
1337,0,723
1338,0,309
1339,0,813
1340,0,-3196
1341,0,-3142
1342,0,-1071
1343,0,10146
1344,0,5537
1345,0,1009
1346,0,1719
1347,0,-3078
1348,0,-5187
1349,0,616
1350,0,-1562
1351,0,662
1352,0,5764
1353,0,8420
1354,0,8752
1355,0,4004
1356,0,-3677
1357,0,-11951
1358,0,-10662
1359,0,-341
1360,0,6168
1361,0,11161
1362,0,7229
1363,0,5741
1364,0,-4387
1365,0,-3706
1366,0,-6898
1367,0,228
1368,0,3480
1369,0,11089
1370,0,4703
1371,0,1827
1372,0,-6798
1373,0,-10746
1374,0,-3101
1375,0,5048
1376,0,8498
1377,0,-136
1378,0,-1414
1379,0,4694
1380,0,732
1381,0,2929
1382,0,5567
1383,0,803
1384,0,-5767
1385,0,-4766
1386,0,-2643
1387,0,211
1388,0,487
1389,0,6576
1390,0,6160
1391,0,6481
1392,0,2065
1393,0,-5482
1394,0,-6626
1395,0,-6553
1396,0,-4437
1397,0,8909
1398,0,12044
1399,0,14095
1400,0,2490
1401,0,-8620
1402,0,-11435
1403,0,-4570
1404,0,1332
1405,0,-227
1406,0,-775
1407,0,9261
1408,0,9959
1409,0,4192
