T,S,X0
0,0,-1060371
1,0,-1060828
2,0,-1060603
3,0,-1060188
4,0,-1059876
5,0,-1060016
6,0,-1060315
7,0,-1060450
8,0,-1060582
9,0,-1060718
10,0,-1060768
11,0,-1060441
12,0,-1060078
13,0,-1060267
14,0,-1060011
15,0,-1059713
16,0,-1059905
17,0,-1060407
18,0,-1060409
19,0,-1060211
20,0,-1060571
21,0,-1060979
22,0,-1061180
23,0,-1060522
24,0,-1059820
25,0,-1059722
26,0,-1060282
27,0,-1060498
28,0,-1059986
29,0,-1060254
30,0,-1060666
31,0,-1061030
32,0,-1060945
33,0,-1060228
34,0,-1059867
35,0,-1059645
36,0,-1059428
37,0,-1059884
38,0,-1060626
39,0,-1060994
40,0,-1061009
41,0,-1060595
42,0,-1060375
43,0,-1060107
44,0,-1059971
45,0,-1059950
46,0,-1060359
47,0,-1060378
48,0,-1060207
49,0,-1060275
50,0,-1060297
51,0,-1060350
52,0,-1060332
53,0,-1060280
54,0,-1060136
55,0,-1060682
56,0,-1060871
57,0,-1060423
58,0,-1060261
59,0,-1060516
60,0,-1060390
61,0,-1060048
62,0,-1060059
63,0,-1060081
64,0,-1060037
65,0,-1060265
66,0,-1060489
67,0,-1060743
68,0,-1060556
69,0,-1060525
70,0,-1060230
71,0,-1060488
72,0,-1060342
73,0,-1060058
74,0,-1060116
75,0,-1060194
76,0,-1060131
77,0,-1060216
78,0,-1060590
79,0,-1060636
80,0,-1060460
81,0,-1060256
82,0,-1060276
83,0,-1060296
84,0,-1060382
85,0,-1060442
86,0,-1060402
87,0,-1060302
88,0,-1060155
89,0,-1060163
90,0,-1060207
91,0,-1060246
92,0,-1060319
93,0,-1060348
94,0,-1060569
95,0,-1060607
96,0,-1060703
97,0,-1060262
98,0,-1059947
99,0,-1060096
100,0,-1060359
101,0,-1060332
102,0,-1060329
103,0,-1060264
104,0,-1059957
105,0,-1060275
106,0,-1060672
107,0,-1060675
108,0,-1060322
109,0,-1060077
110,0,-1060169
111,0,-1060468
112,0,-1060596
113,0,-1060362
114,0,-1060144
115,0,-1060274
116,0,-1060395
117,0,-1060593
118,0,-1060057
119,0,-1059716
120,0,-1060072
121,0,-1060593
122,0,-1060561
123,0,-1060471
124,0,-1060714
125,0,-1060369
126,0,-1060286
127,0,-1060319
128,0,-1060229
129,0,-1060142
130,0,-1060083
131,0,-1060152
132,0,-1060640
133,0,-1060660
134,0,-1060562
135,0,-1060302
136,0,-1060050
137,0,-1060126
138,0,-1060356
139,0,-1060417
140,0,-1060057
141,0,-1060005
142,0,-1060130
143,0,-1060357
144,0,-1060465
145,0,-1060458
146,0,-1060331
147,0,-1060289
148,0,-1060513
149,0,-1060531
150,0,-1060236
151,0,-1060387
152,0,-1060464
153,0,-1060081
154,0,-1059984
155,0,-1060266
156,0,-1060239
157,0,-1060227
158,0,-1060110
159,0,-1060372
160,0,-1060680
161,0,-1060446
162,0,-1060266
163,0,-1060145
164,0,-1060411
165,0,-1060726
166,0,-1060674
167,0,-1060263
168,0,-1060277
169,0,-1060091
170,0,-1060034
171,0,-1060134
172,0,-1060226
173,0,-1060247
174,0,-1060301
175,0,-1060484
176,0,-1060341
177,0,-1060420
178,0,-1060385
179,0,-1060287
180,0,-1060468
181,0,-1060351
182,0,-1060283
183,0,-1060168
184,0,-1060382
185,0,-1060443
186,0,-1060272
187,0,-1060309
188,0,-1060218
189,0,-1060010
190,0,-1060013
191,0,-1060208
192,0,-1060306
193,0,-1060078
194,0,-1060442
195,0,-1061031
196,0,-1061117
197,0,-1060607
198,0,-1060244
199,0,-1060061
200,0,-1060255
201,0,-1060067
202,0,-1059779
203,0,-1059704
204,0,-1060024
205,0,-1060298
206,0,-1060591
207,0,-1060486
208,0,-1060473
209,0,-1060702
210,0,-1060780
211,0,-1060350
212,0,-1060100
213,0,-1060435
214,0,-1060662
215,0,-1060312
216,0,-1059969
217,0,-1059592
218,0,-1059550
219,0,-1060093
220,0,-1060589
221,0,-1060828
222,0,-1060857
223,0,-1060911
224,0,-1060612
225,0,-1060514
226,0,-1060106
227,0,-1059768
228,0,-1059990
229,0,-1059966
230,0,-1059984
231,0,-1059990
232,0,-1060069
233,0,-1060595
234,0,-1061140
235,0,-1060658
236,0,-1060201
237,0,-1060101
238,0,-1060629
239,0,-1060335
240,0,-1060073
241,0,-1060252
242,0,-1060415
243,0,-1060477
244,0,-1060404
245,0,-1060455
246,0,-1060344
247,0,-1060147
248,0,-1060130
249,0,-1059952
250,0,-1059850
251,0,-1060093
252,0,-1060281
253,0,-1060651
254,0,-1060926
255,0,-1060766
256,0,-1060705
257,0,-1060062
258,0,-1059946
259,0,-1060183
260,0,-1060144
261,0,-1060114
262,0,-1060102
263,0,-1060137
264,0,-1060475
265,0,-1060713
266,0,-1060722
267,0,-1060620
268,0,-1060520
269,0,-1060326
270,0,-1060006
271,0,-1059980
272,0,-1059769
273,0,-1060211
274,0,-1060661
275,0,-1060911
276,0,-1060698
277,0,-1060151
278,0,-1059944
279,0,-1060130
280,0,-1059950
281,0,-1059910
282,0,-1060070
283,0,-1060643
284,0,-1060840
285,0,-1060587
286,0,-1060778
287,0,-1060296
288,0,-1059986
289,0,-1060245
290,0,-1060383
291,0,-1060482
292,0,-1060285
293,0,-1060038
294,0,-1060180
295,0,-1060400
296,0,-1060253
297,0,-1060057
298,0,-1060319
299,0,-1060779
300,0,-1060627
301,0,-1060240
302,0,-1059813
303,0,-1060053
304,0,-1060503
305,0,-1060437
306,0,-1060173
307,0,-1060263
308,0,-1060339
309,0,-1060191
310,0,-1059869
311,0,-1060173
312,0,-1060520
313,0,-1060814
314,0,-1060755
315,0,-1060602
316,0,-1060290
317,0,-1060496
318,0,-1060305
319,0,-1060059
320,0,-1060181
321,0,-1060356
322,0,-1060098
323,0,-1059839
324,0,-1060017
325,0,-1060366
326,0,-1060598
327,0,-1060474
328,0,-1060428
329,0,-1060563
330,0,-1060440
331,0,-1060419
332,0,-1060310
333,0,-1060036
334,0,-1059786
335,0,-1059730
336,0,-1059963
337,0,-1060338
338,0,-1060636
339,0,-1060806
340,0,-1060774
341,0,-1060334
342,0,-1060505
343,0,-1060694
344,0,-1060381
345,0,-1060002
346,0,-1059703
347,0,-1059758
348,0,-1060152
349,0,-1060265
350,0,-1060426
351,0,-1060248
352,0,-1060360
353,0,-1060580
354,0,-1060772
355,0,-1060427
356,0,-1060268
357,0,-1060066
358,0,-1060028
359,0,-1060233
360,0,-1060097
361,0,-1060333
362,0,-1060507
363,0,-1060543
364,0,-1060833
365,0,-1060348
366,0,-1060129
367,0,-1060021
368,0,-1059736
369,0,-1060168
370,0,-1060641
371,0,-1060603
372,0,-1060309
373,0,-1060213
374,0,-1060440
375,0,-1060403
376,0,-1060013
377,0,-1059945
378,0,-1060158
379,0,-1060257
380,0,-1060235
381,0,-1060492
382,0,-1060529
383,0,-1060858
384,0,-1060697
385,0,-1059900
386,0,-1059736
387,0,-1060261
388,0,-1060178
389,0,-1060380
390,0,-1060424
391,0,-1060708
392,0,-1060348
393,0,-1060108
394,0,-1060385
395,0,-1060345
396,0,-1060319
397,0,-1060274
398,0,-1060206
399,0,-1060546
400,0,-1060700
401,0,-1060149
402,0,-1059671
403,0,-1060071
404,0,-1060314
405,0,-1060637
406,0,-1060209
407,0,-1060098
408,0,-1060488
409,0,-1060450
410,0,-1060323
411,0,-1060144
412,0,-1059917
413,0,-1060470
414,0,-1060695
415,0,-1060639
416,0,-1060525
417,0,-1059920
418,0,-1059766
419,0,-1060087
420,0,-1060360
421,0,-1060261
422,0,-1060489
423,0,-1060436
424,0,-1060590
425,0,-1060524
426,0,-1060516
427,0,-1060427
428,0,-1060146
429,0,-1059807
430,0,-1059871
431,0,-1059979
432,0,-1060399
433,0,-1060622
434,0,-1060446
435,0,-1060714
436,0,-1060774
437,0,-1060529
438,0,-1060029
