Time,SAP_FLUX,PDCSAP_FLUX
291.41566859270097,100613.55,
291.4163496612673,100732.87,106757.125
291.4170308299508,100648.43,106667.89
291.41771189851715,100612.73,106630.3
291.41839286708273,100545.73,106559.555
291.41907393565634,100667.15,106688.484
291.41975510422344,100666.34,106687.89
291.4204361727898,100610.43,106628.9
291.4211173413569,100690.68,106714.21
291.4217984100396,100629.21,106649.33
291.42247947860596,100738.29,106765.195
291.4231605471796,100556.875,106573.21
291.4238416157459,100687.42,106711.836
291.42452268431225,100665.32,106688.69
291.4252037528786,100717.11,106743.86
291.4258849215621,100659.7,106683.29
291.4265659901357,100591.555,106611.36
291.42724705870205,100670.445,106695.25
291.42792822726915,100699.74,106726.59
291.4286092958355,100687.98,106714.42
291.4292903644018,100689.01,106715.805
291.42997143296816,100608.93,106631.24
291.4306525016582,100683.734,106710.81
291.4313335702245,100659.35,106685.266
291.43201463879086,100642.99,106668.24
291.43269580735796,100648.83,106674.72
291.4333768759243,100669.914,106697.375
291.4340579444979,100687.984,106716.83
291.434739113065,100629.7,106655.375
291.435420081747,100618.27,106643.56
291.43610115031333,100678.7,106707.91
291.43678231888043,100609.086,106634.445
291.43746338745405,100678.45,106708.26
291.4381444560204,100622.37,106649.125
291.4388256245875,100679.59,106710.086
291.4395066931538,100697.664,106729.54
291.4401878617209,100613.86,106641.03
291.4408688304102,100663.52,106693.96
291.4415498989765,100626.68,106655.23
291.44223096754286,100654.02,106684.51
291.44291213610995,100642.414,106672.5
291.4435932046763,100600.78,106628.69
291.4442743732434,100723.71,106759.266
291.444955441817,100658.695,106690.66
291.44563651038334,100694.78,106729.195
291.4463174790653,100618.74,106648.914
291.4469986476324,100616.96,106647.32
291.44767971619876,100600.5,106630.164
291.44836088477314,100631.25,106663.02
291.4490419533395,100651.43,106684.695
291.4497230219058,100671.24,106705.97
291.45040409047215,100615.57,106647.23
291.45108525903925,100745.055,106784.7
291.4517662277285,100697.95,106735.04
291.45244729629485,100618.09,106650.65
291.45312846486195,100719.65,106758.5
291.4538095334283,100622.74,106656.0
291.4544906019946,100606.58,106639.08
291.4551717705617,100624.91,106658.68
291.45585283913533,100593.58,106625.65
291.45653390770167,100719.02,106758.734
291.45721487638366,100539.36,106568.47
291.45789604495076,100626.46,106660.88
291.4585771135171,100570.04,106601.195
291.4592581820907,100655.734,106692.08
291.4599393506578,100666.52,106703.555
291.46062041922414,100616.47,106650.55
291.4613014877905,100687.086,106725.375
291.4619826563576,100635.55,106670.74
291.4626636249304,100614.0,106647.85
291.46334469349677,100711.484,106751.086
291.4640258621803,100657.08,106693.32
291.4647069307466,100625.234,106659.445
291.46538799931295,100609.766,106642.89
291.46606916788005,100619.79,106653.305
291.46675023645366,100515.03,106542.06
291.46743130502,100675.766,106712.15
291.4681122735856,100629.9,106663.26
291.4687934421527,100726.77,106765.6
291.4694745108427,100664.59,106699.36
291.47015557940904,100645.31,106678.58
291.47083674797614,100583.43,106612.62
291.4715178165425,100682.21,106716.91
291.47219898510957,100720.77,106757.375
291.4728800536759,100656.875,106689.24
291.47356102224876,100673.16,106706.07
291.4742420908151,100636.414,106666.71
291.4749232593822,100619.266,106648.11
291.47560432794853,100600.31,106627.59
291.47628549651563,100679.46,106711.055
291.47696656520566,100746.25,106781.414
291.477647633772,100675.79,106706.336
291.4783288023391,100689.8,106720.79
291.47900977090467,100623.984,106650.664
291.479690839471,100612.42,106638.055
291.4803720080381,100642.29,106669.36
291.4810530766117,100674.7,106703.4
291.48173414517805,100651.73,106678.75
291.48241531374515,100677.75,106706.07
291.4830963823115,100580.17,106602.43
291.48377745099424,100653.805,106680.26
291.48445851956785,100671.04,106698.36
291.4851395881342,100630.6,106655.38
291.4858206567005,100648.625,106674.41
291.48650172526686,100660.86,106687.336
291.48718289383396,100661.44,106687.95
291.4878639624076,100748.67,106780.47
