Time,SAP_FLUX,PDCSAP_FLUX
323.5153720236194,,
323.51605309388106,,
323.5167342641362,,
323.51741533439053,,
323.51809630464413,,
323.5187773749276,,
323.5194585451827,,
323.52013961544435,,
323.52082078569947,,
323.52150185595383,,
323.5221829262373,,
323.5228640964924,,
323.5235450667533,,
323.52422613700764,,
323.52490730726277,,
323.5255883775171,,
323.5262694478006,,
323.5269506180557,,
323.52763168831734,,
323.5283127586008,,
323.52899382885516,,
323.5296748991095,,
323.53035596937116,,
323.5310371396263,,
323.53171820988064,,
323.5323992801641,,
323.5330804504192,,
323.5337615206736,,
323.5344425909643,,
323.5351236612187,,
323.53580473147304,100810.055,106795.2
323.5364858017274,100767.22,106749.805
323.53716687201086,100775.78,106758.89
323.537848042266,100767.914,106750.59
323.5385291125276,100725.5,106705.695
323.5392101828111,100689.695,106667.836
323.5398913530662,100730.97,106711.67
323.5405723233198,100802.09,106787.164
323.5412533935814,100755.12,106737.53
323.5419344638649,100761.69,106744.67
323.54261563412,100767.734,106751.28
323.5432967044035,100765.96,106749.625
323.54397777465783,100802.93,106789.07
323.54465894491295,100726.875,106708.766
323.5453400151746,100734.21,106716.87
323.5460209854573,100770.19,106755.34
323.5467021557124,100871.54,106863.13
323.5473832259959,100805.84,106793.945
323.54806429625023,100800.63,106788.86
323.5487454665126,100768.85,106755.66
323.549426536767,100745.43,106731.33
323.5501077070512,100742.16,106728.38
323.55078877730557,100741.945,106728.695
323.55146974758827,100805.14,106796.22
323.5521508178499,100719.42,106705.945
323.55283198813413,100810.46,106803.016
323.5535130583885,100758.59,106748.64
323.5541942286727,100772.03,106763.484
323.5548752989271,100768.516,106760.36
323.55555636918143,100761.9,106753.95
323.55623753947293,100748.484,106740.35
323.55691850972653,100682.78,106671.33
323.55759958001,100791.0,106786.625
323.5582807502651,100757.984,106752.24
323.55896182051947,100766.58,106761.94
323.5596428908102,100685.38,106676.484
323.5603239610937,100745.69,106740.95
323.5610051313488,100686.2,106678.484
323.56168620160315,100793.99,106793.24
323.5623672718866,100801.76,106802.0
323.56304834214825,100825.664,106827.836
323.5637294124317,100811.15,106812.93
323.56441048268607,100738.664,106736.56
323.5650916529703,100818.86,106821.984
323.56577272322465,100831.49,106835.76
323.5664537935081,100850.52,106856.29
323.5671349637705,100778.24,106780.016
