Time,SAP_FLUX,PDCSAP_FLUX
260.21482591288077,1026706.44,
260.21550699681393,1026644.4,1034286.0
260.2161881809807,1026759.2,1034403.94
260.21686926491384,1026561.06,1034205.75
260.21755034907983,1026414.3,1034059.4
260.2182313330195,1026607.1,1034255.8
260.21891251718625,1026690.56,1034341.6
260.2195936011194,1026420.75,1034070.7
260.2202746852854,1026453.94,1034105.6
260.22095586945215,1026582.6,1034236.9
260.2216369533853,1026749.7,1034406.9
260.2223180375586,1026649.1,1034306.44
260.2229992214925,1026519.0,1034176.2
260.22368020565773,1026541.56,1034199.9
260.2243612895909,1026505.9,1034164.8
260.22504247375764,1026470.3,1034129.7
260.2257235576981,1026564.06,1034225.1
260.22640464186406,1026523.8,1034185.2
260.2270858260308,1026508.94,1034170.75
260.227766909964,1026487.44,1034149.6
260.22844799412997,1026464.25,1034126.7
260.2291290780704,1026412.7,1034075.06
260.2298101622364,1026181.7,1033842.1
260.23049124616955,1026481.75,1034145.44
260.23117233033554,1026258.9,1033920.5
260.23185351426946,1026178.6,1033839.7
260.2325345984427,1026268.75,1033930.9
260.2332156823759,1026251.0,1033913.0
260.23389686654264,1026247.6,1033909.6
260.23457785047503,1025962.5,1033621.56
260.235258934641,1026415.1,1034078.7
260.23594011857494,1026332.4,1033994.94
260.2366212027482,1026296.9,1033958.94
260.23730228668137,1026098.0,1033757.9
260.2379834708481,1026337.1,1033999.1
260.2386645550141,1026269.56,1033930.6
260.23934563894727,1026217.06,1033877.25
260.2400266231198,1026254.0,1033914.25
260.2407078070537,1026349.0,1034009.8
260.2413888912197,1026165.5,1033824.1
260.2420700751536,1026325.56,1033985.4
260.2427511593196,1026238.7,1033897.1
260.24343224326003,1026474.44,1034134.7
260.2441134274268,1026247.2,1033904.75
260.24479451135994,1026156.5,1033812.7
260.24547549552517,1026246.44,1033902.94
260.2461566794591,1026652.9,1034312.9
260.24683776363236,1025885.9,1033537.6
260.2475188475655,1026118.56,1033772.1
260.24820003173227,1026356.44,1034011.9
260.2488811156654,1026007.44,1033658.8
260.2495621998314,1026201.7,1033854.4
260.25024338376534,1026240.7,1033893.1
260.25092436793784,1026159.25,1033810.4
260.251605451871,1026250.6,1033902.06
260.25228663603775,1026177.9,1033828.0
260.2529677199709,1026215.1,1033865.06
260.2536488041369,1025996.5,1033643.75
260.2543299880781,1026213.94,1033862.8
260.2550110722441,1026460.4,1034111.1
260.25569215617725,1026085.8,1033732.25
260.25637324034324,1026201.94,1033849.06
260.2570543242764,1026271.25,1033918.6
260.25773540844966,1026261.4,1033908.2
260.2584164923828,1026391.4,1034039.0
260.2590976765496,1026260.4,1033906.4
260.25977876048273,1026187.44,1033832.3
260.2604598446487,1026176.8,1033821.25
260.26114102858264,1026307.8,1033953.2
260.26182201275515,1026076.1,1033718.9
260.2625030966883,1026331.6,1033976.7
260.26318428085506,1026406.56,1034052.25
260.2638653647882,1026337.56,1033982.3
260.2645464489542,1026136.06,1033778.7
260.26522753289464,1026155.8,1033798.56
260.2659087170614,1026045.56,1033687.1
260.26658980099455,1026426.75,1034072.2
260.2672707851598,1026427.3,1034072.75
260.2679519690937,1026301.94,1033946.3
260.26863305326697,1026186.94,1033830.25
260.2693141372001,1026376.06,1034021.4
260.2699953213669,1026258.1,1033902.44
260.27067640530004,1026463.9,1034110.44
260.2713575894668,1026359.25,1034005.0
260.27203867339995,1026528.4,1034176.06
260.2727197573404,1026384.3,1034030.75
260.2734007415056,1026138.44,1033782.75
260.27408192543953,1025965.6,1033608.44
260.2747630096055,1026566.44,1034215.56
260.27544419353944,1026407.94,1034055.7
260.2761252777127,1026256.3,1033902.94
260.27680636164587,1026395.2,1034043.44
260.2774875458126,1026557.25,1034207.4
260.2781686297458,1026238.7,1033885.9
260.278849613911,1026182.6,1033829.5
260.2795307978522,1026468.7,1034118.56
260.2802118820182,1025938.1,1033582.9
260.28089296595135,1026330.44,1033979.3
260.2815741501181,1026205.2,1033852.9
260.28225523405126,1026133.56,1033780.6
260.2829363179844,1026230.8,1033878.9
260.28361750215845,1026326.3,1033975.4
260.28429848609085,1026348.3,1033997.5
260.28497957025684,1026117.2,1033764.0
260.28566065419,1026316.8,1033965.5
260.28634183835675,1026356.8,1034005.6
260.2870229222972,1026342.25,1033990.75
260.2877040064632,1026305.4,1033953.06
260.2883851903971,1026574.2,1034224.25
260.2890662745631,1026373.94,1034021.6
260.2897472584955,1026069.6,1033713.8
260.2904284424367,1026359.5,1034006.1
260.29110952660267,1025939.56,1033581.44
260.2917906105358,1026607.75,1034255.8
260.2924716947018,1026602.0,1034249.4
260.29315287863574,1026628.75,1034275.8
260.293833962809,1026651.1,1034297.8
260.29451504674216,1026758.4,1034405.5
260.29519613090815,1026606.4,1034251.4
260.2958772148413,1026607.4,1034251.75
260.29655829877447,1026437.3,1034079.3
260.2972394829412,1026419.4,1034060.56
260.29792056688166,1026444.75,1034085.6
260.29860165104765,1026391.0,1034030.7
260.29928283498157,1026682.06,1034324.0
260.29996391914756,1026625.8,1034266.6
260.30064490308723,1026845.44,1034487.94
260.3013259870204,1026871.9,1034514.1
260.30200717118714,1026901.94,1034543.94
260.3026882551203,1026746.0,1034386.0
260.30336943928705,1026739.7,1034379.25
260.3040505232202,1027128.4,1034771.44
260.30473170738696,1026964.0,1034605.06
260.3054127913274,1026878.56,1034518.56
260.3060937752598,1026811.0,1034450.1
260.3067748594258,1027012.4,1034653.3
260.3074560433597,1027165.1,1034807.44
260.308137127533,1027088.1,1034729.6
260.30881821146613,1026880.8,1034520.25
260.3094993956329,1026923.94,1034563.9
260.31018047956604,1027420.8,1035065.8
260.3108615634992,1027550.3,1035196.7
260.3115426476652,1027019.4,1034660.6
260.3122237316056,1027200.56,1034843.75
260.3129048157716,1027188.9,1034832.2
260.31358599970554,1027148.56,1034791.75
260.3142670836387,1027259.6,1034904.06
260.3149481678047,1027232.44,1034876.9
260.3156293517459,1027211.94,1034856.4
260.3163104359119,1027207.25,1034851.9
260.31699141984427,1027498.06,1035145.9
260.317672604011,1027601.9,1035250.9
260.3183536879442,1027441.25,1035088.8
260.3190347718846,1027442.9,1035090.7
260.3197158560506,1027507.6,1035156.25
260.3203970399845,1027617.56,1035267.3
260.3210781241505,1027532.94,1035182.0
260.3217592080837,1027890.56,1035543.2
260.3224402920241,1027895.6,1035548.25
260.3231213761901,1027889.7,1035542.2
260.32380246012326,1027777.56,1035428.8
260.32448354428925,1028068.75,1035722.75
260.32516472822317,1028487.8,1036145.7
260.32584581215633,1028506.25,1036164.06
260.32652699633036,1028796.1,1036456.4
260.3272080802635,1028962.7,1036624.1
260.32788906442875,1029252.7,1036916.5
260.3285701483619,1029257.4,1036920.6
260.3292513322958,1029758.44,1037425.94
260.3299324164691,1030225.75,1037897.2
260.330613600403,1030138.1,1037807.94
260.331294684569,1030702.2,1038376.7
260.33197576850216,1031082.7,1038760.1
260.3326569524361,1031231.56,1038909.56
