Time,X1,Label
0,105575.375,0.0
1,105575.375,0.0
2,105575.375,0.0
3,105575.375,0.0
4,105575.375,0.0
5,105575.375,0.0
6,105575.375,0.0
7,105575.375,0.0
8,105575.375,0.0
9,105575.375,0.0
10,105575.375,0.0
11,105575.375,0.0
12,105575.375,0.0
13,105575.375,0.0
14,105575.375,0.0
15,105575.375,0.0
16,105575.375,0.0
17,105575.375,0.0
18,105575.375,0.0
19,105575.375,0.0
20,105575.375,0.0
21,105575.375,0.0
22,105575.375,0.0
23,105575.375,0.0
24,105575.375,0.0
25,105575.375,0.0
26,105575.375,0.0
27,105575.375,0.0
28,105575.375,0.0
29,105575.375,0.0
30,105575.375,0.0
31,105358.67,0.0
32,105536.38,0.0
33,105578.22,0.0
34,105505.78,0.0
35,105517.84,0.0
36,105585.14,0.0
37,105576.945,0.0
38,105626.086,0.0
39,105594.37,0.0
40,105519.59,0.0
41,105629.664,0.0
42,105596.305,0.0
43,105390.7,0.0
44,105526.06,0.0
45,105528.71,0.0
46,105572.74,0.0
47,105565.414,0.0
48,105462.47,0.0
49,105526.3,0.0
50,105426.914,0.0
51,105566.3,0.0
52,105594.57,0.0
53,105586.08,0.0
54,105638.37,0.0
55,105518.18,0.0
56,105474.984,0.0
57,105567.81,0.0
58,105554.414,0.0
59,105586.43,0.0
60,105626.89,0.0
61,105520.03,0.0
62,105527.17,0.0
63,105575.336,0.0
64,105456.055,0.0
65,105569.26,0.0
66,105468.19,0.0
67,105554.27,0.0
68,105575.92,0.0
69,105500.54,0.0
70,105500.54,0.0
71,105500.54,0.0
72,105500.54,0.0
73,105500.54,0.0
74,105500.54,0.0
75,105500.54,0.0
76,105500.54,0.0
77,105500.54,0.0
78,105500.54,0.0
79,105500.54,0.0
80,105500.54,0.0
81,105500.54,0.0
82,105485.99,0.0
83,105585.35,0.0
84,105678.62,0.0
85,105664.72,0.0
86,105600.56,0.0
87,105533.14,0.0
88,105582.05,0.0
89,105502.24,0.0
90,105505.43,0.0
91,105526.06,0.0
92,105616.02,0.0
93,105700.77,0.0
94,105574.69,0.0
95,105546.06,0.0
96,105562.43,0.0
97,105551.47,0.0
98,105547.88,0.0
99,105550.016,0.0
100,105568.37,0.0
101,105591.45,0.0
102,105625.62,0.0
103,105562.31,0.0
104,105594.055,0.0
